Date,Order_ID,Product_Name,Category,Quantity,Unit_Price,Discount,Region
2016-11-08,CA-2016-152156,Bush Somerset Collection Bookcase,Furniture,2.0,130.98,0.0,South
2016-11-08,CA-2016-152156,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,3.0,243.98,0.0,South
2016-06-12,CA-2016-138688,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,2.0,7.31,0.0,West
2015-10-11,US-2015-108966,Bretford CR4500 Series Slim Rectangular Table,Furniture,5.0,191.52,45.0,South
2015-10-11,US-2015-108966,Eldon Fold 'N Roll Cart System,Office Supplies,2.0,11.18,20.0,South
2014-06-09,CA-2014-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,7.0,6.98,0.0,West
2014-06-09,CA-2014-115812,Newell 322,Office Supplies,4.0,1.82,0.0,West
2014-06-09,CA-2014-115812,Mitel 5320 IP Phone VoIP phone,Technology,6.0,151.19,20.0,West
2014-06-09,CA-2014-115812,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,3.0,6.17,20.0,West
2014-06-09,CA-2014-115812,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,5.0,22.98,0.0,West
2014-06-09,CA-2014-115812,Chromcraft Rectangular Conference Tables,Furniture,9.0,189.58,20.0,West
2014-06-09,CA-2014-115812,Konftel 250 Conference phone - Charcoal black,Technology,4.0,227.86,20.0,West
2017-04-15,CA-2017-114412,Xerox 1967,Office Supplies,3.0,5.18,20.0,South
2016-12-05,CA-2016-161389,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,3.0,135.99,20.0,West
2015-11-22,US-2015-118983,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,5.0,13.76,80.0,Central
2015-11-22,US-2015-118983,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,3.0,0.85,80.0,Central
2014-11-11,CA-2014-105893,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,6.0,110.98,0.0,Central
2014-05-13,CA-2014-167164,Fellowes Super Stor/Drawer,Office Supplies,2.0,27.75,0.0,West
2014-08-27,CA-2014-143336,Newell 341,Office Supplies,2.0,4.28,0.0,West
2014-08-27,CA-2014-143336,Cisco SPA 501G IP Phone,Technology,3.0,71.16,20.0,West
2014-08-27,CA-2014-143336,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,4.0,5.68,20.0,West
2016-12-09,CA-2016-137330,Newell 318,Office Supplies,7.0,2.78,0.0,Central
2016-12-09,CA-2016-137330,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,7.0,8.62,0.0,Central
2017-07-16,US-2017-156909,"Global Deluxe Stacking Chair, Gray",Furniture,2.0,35.69,30.0,East
2015-09-25,CA-2015-106320,Bretford CR4500 Series Slim Rectangular Table,Furniture,3.0,348.21,0.0,West
2016-01-16,CA-2016-121755,Wilson Jones Active Use Binders,Office Supplies,2.0,5.82,20.0,West
